English,Nagamese,,,,
1,1,,,,
"Many have taken on the work of putting together an account of the things that have been accomplished among us, 2","Bisi manukhan pora kotha aru kaam khan laga khisa joma kori kena likhibo nimite kosis korise, juntu amikhan majot te pura hoise 2",,,,
just as they were passed down to us by those who from the first were eyewitnesses and servants of the word. 3,jineka pora amikhan laga hath te dise jun khan shuru te nijor suku pora dikhise aru kotha laga sewak khan asele. 3,,,,
"So it seemed good to me also, because I have accurately investigated everything from the beginning, to write an orderly account for you, most excellent Theophilus, 4","Itu nimite ami itu bisi bhal nisena dikhi ase, bhal pora bisari kena sob kotha aru kaam khan to shuru pora apni ke hisab-kitab pora likhi ase mohan Theophilus, 4",,,,
so that you might know the certainty of the things you have been taught. 5,eneka hoile tumi janibo itu bostu laga asol kotha juntu apni ke sikhai dise. 5,,,,
In the days of Herod king of Judea there was a certain priest named Zechariah from the division of Abijah, his wife Elizabeth was also a descendant of Aaron. 6,Aru Herod pora Judea laga raja thaka somoite Abijah laga dol pora Zachariah naam laga ekjon purohit thakise. Tai laga maiki to Aaron laga khandan pora asele aru tai laga naam Elizabeth asele. 6,,,
"They were both righteous before God, walking blameless in all the commandments and statutes of the Lord. 7","Aru tai duijon Isor usorte bisi bhal thakise, aru Probhu pora ki koi sob kotha to sapha pora mani thake. 7",,,,
"But they had no child because Elizabeth was barren, and they were both advanced in their days. 8","Aru tai khan bacha thaka nai, kilemane Elizabeth to bacha pabole napara maiki thakise, aru tai duijon laga umor bi bisi hoi jaise. 8",,,,
"Now it came about that Zechariah was in God's presence, carrying out the priestly duties in the order of his division. 9","Etiya eneka hoise, jitia Zechariah tai Isor usorte tai laga purohit kaam khan kori asele, juntu kaan khan tailaga dol khan pora kore. 9",,,,
"According to the customary way of choosing which priest would serve, he had been chosen by lot to enter into the temple of the Lord to burn incense. 10","Titia, purohit laga niom hisab te, tai ke Isor laga pobitro ghor bhitorte jaikena dhup aru dhuna julabole chithi pora basi se. 10",,,,
The whole crowd of people was praying outside at the hour when the incense was burned. 11,Jitia dhuna juli jaise itu homoite sob manukhan bahar te prathana kori thakise. 11,,,,
Now an angel of the Lord appeared to him and stood at the right side of the incense altar. 12,"Titia Probhu laga sorgoduth tai usorte ahise, aru jun jagate dhuna julai se itu laga dyna phale khara korise. 12",,,,
"When Zechariah saw him, he was troubled, and fear fell on him. 13",Jitia Zechariah itu dikhise tai bisi chinta hoise aru tai uporte bisi bhoi ahi jaise. 13,,,,
"But the angel said to him, ""Do not be afraid, Zechariah, because your prayer has been heard. Your wife Elizabeth will bear you a son. You will call his name John. 14","Hoilebi, sorgoduth koise, “Bhoi nakoribi Zechariah, tumi laga prathana huni loise. Tumi laga maiki Elizabeth pora ekjon chokra pabo. Aru tumi tai laga naam John rakhibo. 14",,,,
"You will have joy and gladness, and many will rejoice at his birth. 15","Aru tumi khan anond aru bhal lagibo, aru bisi manukhan tai laga jonom te khushi koribo. 15",,,,
"For he will be great in the sight of the Lord. He must never drink wine or strong drink, and he will be filled with the Holy Spirit from his mother's womb. 16","Aru tai Probhu usorte bisi dangor hobo. Tai kitia bi draikha-ros nakhabole lage, tai ama laga peth te thaka homoi pora he Pobitro Atma pora bhorta hoijabo. 16",,,,
Many of the descendants of Israel will be turned to the Lord their God. 17,Aru tai Israel laga bacha khan ke Probhu Isor logote wapas anibo. 17,,,,
"He will go before the face of the Lord in the spirit and power of Elijah, to turn the hearts of the fathers to the children and the disobedient to the wisdom of the righteous—to make ready for the Lord a people prepared for him."" 18","Elijah laga atma aru takot pora Probhu laga kaam te tai he age korikena loi jabo. Aru jun dharmikta laga kotha namani kena ase taikhan laga mon ghuraidibo nimite aru baba khan laga mon taikhan laga bacha khan phale ghurai dibole, aru jun Probhu ahibole ase Tai nimite rasta taiyar koribole.” 18",,,,
"Zechariah said to the angel, ""How can I know this? For I am an old man and my wife is advanced in her days."" 19","Zechariah pora sorgoduth ke koise, “Moi itu kineka janibo? Kilemane moi ekta bura manu hoise aru moi laga maiki bi tai laga umor to bisi hoise.” 19",,,,
"The angel answered and said to him, ""I am Gabriel, who stands in the presence of God. I was sent to speak to you, to bring you this good news. 20","Aru sorgoduth tai ke jawab di kena koise, “Moi Gabriel ase, jun Isor usorte khara kore. Ami ke tumi logote kotha kobole pathaise, aru itu bhal khobor to tumi ke kobole nimite. 20",,,,
"Behold! You will be silent, unable to speak, until the day these things take place. This is because you did not believe my words, which will be fulfilled at the right time."" 21","Aru itu nimite, sob kaam to nohua tak tumi chup thakibo aru kotha ulabo naparibo, kilemane tumi moi laga kotha biswas kora nai, itu sob to tai laga thik homoi te pura hobo.” 21",,,,
Now the people were waiting for Zechariah. They were surprised that he was spending so much time in the temple. 22,"Aru manukhan Zechariah nimite rukhi thakisele, aru taikhan chinta-bhabona korise jitia tai mondir ghor bhithor te deri korise. 22",,,,
"But when he came out, he could not speak to them. They realized that he had seen a vision while he was in the temple. He kept on making signs to them and remained silent. 23","Kintu jitia tai baharte ulai ahise tai kotha kobole para nai, titia taikhan bhabise taike Isor pora kiba ekta dikhaise; aru tai manukhan ke ishara pora dikhai di thakise, aru kotha koribo naparikena he thaki jaise. 23",,,,
"It came about that when the days of his service were over, he went to his house. 24","Aru itu sob to tai laga sewa kora homoi pura aru khotom hoise, titia tai ghor te jai jaise. 24",,,,
"After these days, his wife Elizabeth conceived and for five months she kept herself hidden. She said, 25","Aru itu din piche, tai laga maiki Elizabeth bacha bukhi se, aru pans mohina tak tai nije ke lukai kena rakhise, aru koi thakise, 25",,,,
"""This is what the Lord has done for me when he looked at me with favor in order to take away my shame before people."" 26","“Isor ami uporte eneka korise, aru ami uporte Probhu he daya korise, manu usorte sorom nakhilabo nimite.” 26",,,,
"In the sixth month, the angel Gabriel was sent from God to a city in Galilee named Nazareth, 27","Aru choi mohina huwa homoi te, Isor pora sorgoduth Gabriel ke Galilee, juntu ke Nazareth mate, itu jagate pathai se, 27",,,,
"to a virgin engaged to a man whose name was Joseph, who was a descendant of David, and the virgin's name was Mary. 28","ekjon kumari mahila logote, jun Joseph koikena ekjon manu logot shadi koribole laga kotha milikena asele, aru jun David ghor manu asele; aru itu kumari laga naam Mary asele. 28",,,,
"He came to her and said, ""Greetings, you who are highly favored! The Lord is with you."" 29","Aru tai logote ahikena, sorgoduth koise, “Salam tumike, jun uporte Isor laga morom ahise! Probhu tumi logote ase.” 29",,,,
But she was very confused by his words and she wondered what kind of greeting this could be. 30,Aru tai itu kotha khan huni kena chinta hoise aru tai bhabi thakise itu kineka laga salam ase. 30,,,,
